epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,992.405,1.40155,2.97668,1.49256,1.36051,0.49064,0.37802,0.39002,0.21214,0.46978,0.33407,0.32086,0.1403,1.597,3.18711,1.71424,1.50228,0.00121583,0.00121583,0.00121583
67,1007.22,1.4165,3.05188,1.51337,1.36886,0.4817,0.38242,0.38306,0.21209,0.46214,0.35385,0.32819,0.13853,1.5607,3.2213,1.72813,1.47479,0.00119551,0.00119551,0.00119551
68,1023,1.41262,3.03669,1.51798,1.36508,0.5107,0.37802,0.40608,0.21754,0.49687,0.35165,0.34852,0.14158,1.56751,3.22318,1.70096,1.4776,0.0011751,0.0011751,0.0011751
69,1037.37,1.40249,2.99676,1.51827,1.36112,0.44463,0.44176,0.39622,0.21569,0.41999,0.38901,0.33062,0.13961,1.58744,3.16506,1.67073,1.51192,0.00115462,0.00115462,0.00115462
70,1052.45,1.4173,3.00521,1.46795,1.36573,0.42251,0.41758,0.38762,0.21782,0.39863,0.37363,0.32032,0.1418,1.55439,3.14689,1.74752,1.49133,0.00113408,0.00113408,0.00113408
71,1066.77,1.36761,2.9173,1.47984,1.34964,0.38897,0.4575,0.36481,0.20248,0.37208,0.39121,0.30586,0.12959,1.55518,3.17273,1.7906,1.50259,0.00111348,0.00111348,0.00111348
72,1082.45,1.39532,3.01136,1.49073,1.36033,0.4781,0.38681,0.38232,0.20747,0.46379,0.32308,0.30991,0.13321,1.58602,3.16981,1.74392,1.50059,0.00109284,0.00109284,0.00109284
73,1096.97,1.39035,3.00989,1.46677,1.35244,0.43008,0.42126,0.37715,0.20245,0.41812,0.37363,0.33014,0.13521,1.54414,3.2135,1.78307,1.4533,0.00107216,0.00107216,0.00107216
74,1111.76,1.33207,2.92338,1.46107,1.3288,0.48133,0.37582,0.38146,0.20961,0.45036,0.35165,0.3237,0.14,1.56862,3.14638,1.68566,1.47563,0.00105146,0.00105146,0.00105146
75,1127.62,1.43612,3.08682,1.49332,1.39486,0.48912,0.39341,0.40022,0.227,0.42669,0.38901,0.34087,0.14719,1.54835,3.1677,1.65304,1.47926,0.00103073,0.00103073,0.00103073
